SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,Other remarks,
605834,Nyanama,Kampala West ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.27187435,32.55659113,,
605837,Padibe,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,3.49155268,32.81273552,,
605836,Kabuusu,Mityana ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.2955831,32.5528817,,
605838,Kituntu,Masaka ,Urban,B,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.632119132,31.32650094,,
605839,masindiport,Lira ,Rural,B,I-Engineering,Latima Musoke,Allan Kavuma,1.708963333,32.036245,,
605840,Maziba,Kabale  ,Urban,C,Camusat,Denis Masaba,Faridah Nantege,-1.2353417,30.1442967,,
605841,Laibi,Gulu ,Rural,A,I-Engineering,Moses Kaganda,Allan Kavuma,2.7646787,32.2980573,,
605842,Kigumba,Lira ,Rural,A,I-Engineering,Latima Musoke,Allan Kavuma,1.80854481,32.00879504,,
605843,Acholi_Inn,Gulu ,Rural,B,I-Engineering,Moses Kaganda,Allan Kavuma,2.7834167,32.2986488,,
605610,Alere,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,3.4630163,31.7619513,,
605845,Bumogolo,Masaka ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,-0.7808851,31.3858993,,
605846,Ibanda town,Mbarara ,Urban,A,Camusat,Thomasi Seruyange,Faridah Nantege,-0.1676612,30.4895078,,
605848,Rubaare Town,Kabale  ,Urban,B,Camusat,Denis Masaba,Faridah Nantege,-1.0162683,30.2030167,,
605847,Kyadondo_Kilokole,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.38034916,32.56423933,,
605849,Ruhanga,Kabale  ,Urban,B,Camusat,Denis Masaba,Faridah Nantege,-0.8125361,30.2767516,,
605850,Kikondo,Mbarara ,Urban,A,Camusat,Thomasi Seruyange,Faridah Nantege,-0.1263101,30.3801432,,
605851,Bulimbale,Masaka ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.3774349,31.2065743,,
606102,Kuluva,Arua  ,Rural,B,I-Engineering,Innocent Ayiko,Allan Kavuma,2.9464605,30.9327096,,
605852,Lusanja,Kampala North,Urban,A,I-Engineering,Joash Lubwama,Allan Kavuma,0.41404076,32.57180411,,
605853,Itendero,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.574385338,30.40816949,,
606063,Kamusi,Mbale  ,Rural,C,Netis,Jude Musana,William Bwire,1.29598,34.330085,,
605854,Kitoro,Kampala West ,Urban,B,Camusat,Christopher Alituha,Faridah Nantege,0.05728,32.46240833,,
606128,Tororo Senior Quarters,Mbale  ,Rural,C,Netis,Jude Musana,William Bwire,0.680755,34.19212167,,
606130,Achuna,Soroti  ,Rural,C,Netis,Moses Wandera,William Bwire,1.531769283,33.65636002,,
606136,Nyarugabu,Hoima  ,Rural,C,I-Engineering,Latima Musoke,Allan Kavuma,1.431708333,31.28502167,,
606171,Ntwetwe Town,Hoima  ,Rural,C,Camusat,Patrick Kinyera,Faridah Nantege,0.951108333,31.59252667,,
606129,Magoro,Mbale  ,Rural,C,Netis,Moses Wandera,William Bwire,1.728153233,34.10181085,,
606020,Mpondwe Town,Fort Portal   ,Urban,B,Camusat,Stephen Rwabwogo,Faridah Nantege,0.040571667,29.72339667,,
606126,Buyende,Mukono ,Urban,C,Netis,Samuel Naseke,William Bwire,1.170221667,33.15944667,,
606139,Irundu,Jinja ,Urban,B,Netis,Emmanuel Kafuko,William Bwire,1.212701667,33.378815,,
606127,Cheminy,Mbale  ,Rural,C,Netis,Jude Musana,William Bwire,1.41414,34.59679333,,
606146,Kyanvuma,Jinja ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.7617,33.27146333,,
606168,Ovujjo,Arua  ,Rural,B,I-Engineering,Innocent Ayiko,Allan Kavuma,3.2287383,30.9107017,,
606152,Badyang,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.086691667,32.9379,,
606134,Bala,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.1290968,32.7161468,,
606165,Palwo,Lira ,Rural,C,I-Engineering,Muhamood Kyongo,Allan Kavuma,2.7838666,33.1475935,,
606145,Namasagali,Mukono ,Urban,B,Netis,Samuel Naseke,William Bwire,1.007938333,32.951115,,
606180,Nangunga,Mukono ,Urban,C,Netis,Samuel Naseke,William Bwire,0.249625,33.01360833,,
606181,Bukoli,Jinja ,Urban,C,Netis,Emmanuel Kafuko,William Bwire,0.404611667,33.79291333,,
606144,Nakwero,Luwero ,Urban,B,Netis,Benbridge Mulongo,William Bwire,0.465855,32.64639833,,
606176,Lake Katwe,Fort Portal   ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,-0.14044,29.88106333,,
605656,Katete,Mbarara ,Urban,B,Camusat,Thomasi Seruyange,Faridah Nantege,-0.627842518,30.68507764,,
606011,Nyahuka Town,Fort Portal   ,Urban,C,Camusat,Stephen Rwabwogo,Faridah Nantege,0.6779917,29.990485,,
606151,Muchwini,Gulu ,Rural,C,I-Engineering,Moses Kaganda,Allan Kavuma,3.392093333,33.02506,,
606157,Dyango,Mbarara ,Urban,C,Camusat,Thomasi Seruyange,Faridah Nantege,-0.7744091,31.1832235,,
606148,Mpambire,Kampala West ,Urban,C,Camusat,M Patrick Kalibbala,Faridah Nantege,0.1956619,32.2904227,,
606189,Lubatu,Kampala North,Urban,B,I-Engineering,Joash Lubwama,Allan Kavuma,0.347321,32.5535629,,
