SITE ID,SITE NAME,SUB REGION,CLASSIFICATION,CLASS,CONTRACTOR,REGIONAL SUPERVISOR,SDM,Lat,Long,IENG_to_New_Vendor,CAM_to_New_Vendor,NET_to_IENG,,,
605406,Mingoro,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.025865,30.9126217,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
609584,Mwitamba,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.891071667,30.962375,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
608610,Nakasongola-Army,TBC,TBC,TBC,IENG_to_New_Vendor,Robert Otim,Allan Kavuma,1.3857003,32.5091516,IENG_to_New_Vendor,#N/A,#N/A,I-Engineering,Robert Otim,
701155,Kanapa,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.5095244,34.0326991,#N/A,#N/A,#N/A,Netis,Jude Musana,
605594,Gaddumire,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,1.1198417,33.51867,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
606762,Teregu,TBC,TBC,TBC,Netis,Moses Wandera,Kenneth Andama,3.663501267,34.09524208,#N/A,#N/A,#N/A,Netis,Moses Wandera,
605084,Aqua_House,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.2944041,32.6052536,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
609380,Kyanyambali,TBC,TBC,TBC,Camusat,Stephen Rwabwogo,Faridah Nantege,0.6828083,30.955225,#N/A,#N/A,#N/A,Camusat,Stephen Rwabwogo,
606162,Wandi,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.0991033,30.9690867,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
608280,Wakawaka,TBC,TBC,TBC,Netis,Emmanuel Kafuko,Kenneth Andama,0.358455,33.6929905,#N/A,#N/A,#N/A,Netis,Emmanuel Kafuko,
609552,Puvungu 2,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,2.4634737,31.4990082,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
608179,Magyo - Island,TBC,TBC,TBC,Netis,Samuel Naseke,Kenneth Andama,0.1581794,33.2843744,#N/A,#N/A,#N/A,Netis,Samuel Naseke,
605798,Najjera,TBC,TBC,TBC,NET_to_IENG,Benbridge Mulongo,Kenneth Andama,0.3814686,32.6256967,#N/A,#N/A,NET_to_IENG,Netis,Benbridge Mulongo,
609823,Bajja,TBC,TBC,TBC,I-Engineering,Robert Otim,Allan Kavuma,0.775955,32.7314783,#N/A,#N/A,#N/A,I-Engineering,Robert Otim,
606702,Karobwa House,TBC,TBC,TBC,Netis,Paul Mbabazi,Kenneth Andama,0.3112792,32.583905,#N/A,#N/A,#N/A,Netis,Paul Mbabazi,
608618,Noko,TBC,TBC,TBC,I-Engineering,Innocent Ayiko,Allan Kavuma,3.341995,31.23996667,#N/A,#N/A,#N/A,I-Engineering,Abu Kasamba,
606086,Butebo,TBC,TBC,TBC,Netis,Jude Musana,Kenneth Andama,1.2013767,33.9003567,#N/A,#N/A,#N/A,Netis,Jude Musana,
